,name,has_fur,has_feathers,born_from_egg,gives_milk,can_fly,lives_underwater,is_predator,has_spine,is_poisonous,has_fins,limbs_count,has_tail,class
0,wolf,True,False,False,True,False,False,True,True,False,False,4,True,Mammal
1,vole,True,False,False,True,False,False,False,True,False,False,4,True,Mammal
2,squirrel,True,False,False,True,False,False,False,True,False,False,2,True,Mammal
3,deer,True,False,False,True,False,False,False,True,False,False,4,True,Mammal
4,dolphi,False,False,False,True,False,True,True,True,False,True,0,True,Mammal
5,aardvark,True,False,False,True,False,False,True,True,False,False,4,False,Mammal
6,antelope,True,False,False,True,False,False,False,True,False,False,4,True,Mammal
7,parakeet,False,True,True,False,True,False,False,True,False,False,2,True,Bird
8,penguin,False,True,True,False,False,True,True,True,False,False,2,True,Bird
9,tortoise,False,False,True,False,False,False,False,True,False,False,4,True,Reptile
10,tuatara,False,False,True,False,False,False,True,True,False,False,4,True,Reptile
11,carp,False,False,True,False,False,True,False,True,False,True,0,True,Fish
12,catfish,False,False,True,False,False,True,True,True,False,True,0,True,Fish
13,termite,False,False,True,False,False,False,False,False,False,False,6,False,Beetle
14,moth,True,False,True,False,True,False,False,False,False,False,6,False,Beetle
15,crab,False,False,True,False,False,True,True,False,False,False,1,False,Invertebrate
16,starfish,False,False,True,False,False,True,True,False,False,False,5,False,Invertebrate
